ID,書名,作者,分類,難度,摘要,推薦原因,Goodreads,Amazon,YouTube,Wikipedia,說書頻道
"FIN-01","富爸爸·窮爸爸","Robert Kiyosaki","金融/投資","入門","透過兩位爸爸嘅理財觀念對比，帶出「你唔係為錢工作，而係要錢為你工作」嘅核心思想。教你點樣擺脫「老鼠賽跑」嘅窮人思維，建立資產負債表概念，踏出財務自由第一步。","全球超過4,000萬本銷量，係無數人理財啟蒙第一本書。Elon Musk 曾提及財務教育嘅重要性，巴菲特亦強調被動收入思維。","https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad","https://www.amazon.com/Rich-Dad-Poor-Dad-Money-Investing/dp/1612680194","","https://zh.wikipedia.org/wiki/富爸爸·窮爸爸","Alina粵讀社"
"FIN-02","漫步華爾街","Burton Malkiel","金融/投資","入門","提出咗經典嘅「隨機漫步理論」——股價短期走勢根本預測唔到，與其花時間選股，不如長期持有低成本指數基金。融合歷史、心理學同經濟學，係散戶嘅投資聖經。","巴菲特公開推薦過呢本書，認為係普通人最好嘅投資指南。Ray Dalio 亦認同分散投資嘅核心理念。","https://www.goodreads.com/book/show/106651.A_Random_Walk_Down_Wall_Street","https://www.amazon.com/Random-Walk-Down-Wall-Street/dp/0393358380","","https://zh.wikipedia.org/wiki/漫步華爾街","喃喃說書"
"FIN-03","智慧型股票投資人","Benjamin Graham","金融/投資","中階","價值投資嘅始祖級教科書，Graham 提出咗「安全邊際」同「市場先生」呢兩個經典概念。教你點樣理性分析股票，唔好被市場情緒牽住走。","巴菲特稱呢本係「史上最好嘅投資書」，佢嘅投資哲學基本上都係嚟自 Graham。係所有價值投資者必讀嘅經典。","https://www.goodreads.com/book/show/106835.The_Intelligent_Investor","https://www.amazon.com/Intelligent-Investor-Collins-Business-Essentials/dp/0060555661","","https://zh.wikipedia.org/wiki/智慧型股票投資人","Alina粵讀社"
"FIN-04","巴菲特致股東的信","Warren Buffett (Lawrence Cunningham 編)","金融/投資","中階","收集咗巴菲特多年嚟寫畀Berkshire Hathaway股東嘅信，濃縮晒佢嘅投資智慧——從企業估值、管理層質素到市場時機。每一篇都係實戰經驗嘅結晶。","直接嚟自巴菲特本人，係了解佢思考方式嘅第一手資料。比任何關於巴菲特嘅二手書更有價值。","https://www.goodreads.com/book/show/290442.The_Essays_of_Warren_Buffett","https://www.amazon.com/Essays-Warren-Buffett-Lessons-Corporate/dp/1611637589","","https://zh.wikipedia.org/wiki/華倫·巴菲特","喃喃說書"
"FIN-05","原則：生活與工作","Ray Dalio","金融/投資","中階","橋水基金創辦人Ray Dalio分享佢喺金融市場打滾40年提煉出嚟嘅原則。由「激進透明度」到「創意擇優」，呢啲原則唔止for投資，仲可以應用喺人生各層面。","Ray Dalio係全球最大對沖基金創辦人，佢嘅原則被科技界、金融界廣泛採用。Bill Gates同Tim Ferriss都強烈推薦。","https://www.goodreads.com/book/show/34536488-principles","https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021","","https://zh.wikipedia.org/wiki/原則：生活與工作","Alina粵讀社"
"FIN-06","窮查理的普通常識","Charlie Munger / Peter Kaufman","金融/投資","進階","巴菲特嘅黃金拍檔Charlie Munger分享佢嘅「多元思維模型」——從心理學、物理學、生物學等學科提取模型嚟做投資決策。核心信息：你需要一個跨學科嘅知識框架。","Munger係投資界傳奇，呢本書係佢演講同文章嘅結集。被認為係比巴菲特嘅書更深層次嘅智慧。Elon Musk都推崇跨學科思維。","https://www.goodreads.com/book/show/944652.Poor_Charlie_s_Almanack","https://www.amazon.com/Poor-Charlies-Almanack-Charles-Munger/dp/1578645018","","https://zh.wikipedia.org/wiki/查理·芒格","喃喃說書"
"FIN-07","投資最重要的事","Howard Marks","金融/投資","中階","橡樹資本創辦人Howard Marks寫落嚟嘅投資備忘錄，涵蓋風險管理、市場週期、第二層思考等核心概念。佢話：投資唔係要睇得準，而係要冇錯得咁勁。","巴菲特話：「每次收到Howard Marks嘅memo，我一睇就學到嘢。」係華爾街頂尖投資者嘅實戰智慧。","https://www.goodreads.com/book/show/15798684-the-most-important-thing","https://www.amazon.com/Most-Important-Thing-Uncommon-Professor/dp/0231162841","","","Alina粵讀社"
"FIN-08","黑天鵝效應","Nassim Nicholas Taleb","金融/投資","進階","探討點解極端、不可預測嘅事件（黑天鵝）主宰咗世界——金融危機、戰爭、科技顛覆。Taleb教你點樣喺不確定性中生存，甚至從混亂中獲利。","影響咗整個投資界對風險嘅理解，Ray Dalio嘅風險平價策略同Taleb嘅反脆弱思維有異曲同工之妙。","https://www.goodreads.com/book/show/242472.The_Black_Swan","https://www.amazon.com/Black-Swan-Second-Improbable-Robustness/dp/081297381X","","https://zh.wikipedia.org/wiki/黑天鵝效應","喃喃說書"
"PSY-01","影響力","Robert Cialdini","人性/心理","入門","揭示咗六大人類順從心理原理——互惠、承諾一致、社會認同、喜好、權威、稀缺。呢啲原理解釋咗點解我哋會喺唔知唔覺之間被人說服。","Charlie Munger將Cialdini嘅影響力原理融入佢嘅投資檢查清單。Salesforce創辦人Marc Benioff都推薦呢本。","https://www.goodreads.com/book/show/28815.Influence","https://www.amazon.com/Influence-Psychology-Persuasion-Robert-Cialdini/dp/006124189X","","https://zh.wikipedia.org/wiki/影響力_(書)","Alina粵讀社"
"PSY-02","思考，快與慢","Daniel Kahneman","人性/心理","中階","諾貝爾經濟學獎得主Kahneman提出咗人類思考嘅兩套系統——快速直覺嘅系統一，同緩慢理性嘅系統二。解釋咗點解我哋成日做錯決策，從投資到日常生活。","巴菲特同Munger嘅投資哲學大量借鑒咗行為經濟學，Kahneman係呢個領域嘅開山祖師。Bill Gates同Jeff Bezos都推薦。","https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow","https://www.amazon.com/Thinking-Fast-Slow-Daniel-Kahneman/dp/0374533555","","https://zh.wikipedia.org/wiki/思考，快與慢","喃喃說書"
